StdPolygon,BACM_Type,AirSci Acres,BACM_Type_Detailed
C1,Channel,133.061,Channel Area BACM
C2,Channel,197.044,Channel Area BACM
Corridor 1,Gravel,87.9927,Gravel
DuckPond-L2,No DCM,10.2622,Gravel
Phase 8,Gravel,1246.41,Gravel
Phase 8,Gravel,34.3821,Gravel
T10-1,99% Efficiency Wetting Basins (2008),40.7124,Sprinkler Shallow Flooding
T10-1,99% Efficiency Wetting Basins (2003),241.966,Sprinkler Shallow Flooding
T10-1,99% Efficiency Wetting Basins (2008),165.672,Shallow Flooding
T10-1a,No DCM,41.074,Sprinkler Shallow Flooding
T10-2N,99% Efficiency Wetting Basins (2008),201.041,Shallow Flooding
T10-2S,99% Efficiency Wetting Basins (2008),698.01,Shallow Flooding
T10-3a,No DCM,315.033,Gravel
T10-3E,99% Efficiency Wetting Basins (2008),177.773,Shallow Flooding
T10-3W,Brine,102.784,Brine
T11,99% Efficiency Wetting Basins (2003),430.997,Proposed Brine
T1-1,99% Efficiency Wetting Basins (2003),150.269,Shallow Flooding
T12-1,Tillage With BACM Backup,215.747,Tillage With BACM Backup
T13-1,99% Efficiency Wetting Basins (2003),378.71,Shallow Flooding
T13-1,99% Efficiency Wetting Basins (2003),366.434,Shallow Flooding
T13-1 Addition,99% Efficiency Wetting Basins (2003),4.83376,Shallow Flooding
T13-1 Addition,99% Efficiency Wetting Basins (2003),4.94566,Shallow Flooding
T13-1 Addition,99% Efficiency Wetting Basins (2003),50.1313,Shallow Flooding
T13-1 Addition,99% Efficiency Wetting Basins (2003),9.92643,Shallow Flooding
T13-1 Addition,99% Efficiency Wetting Basins (2003),9.89417,Shallow Flooding
T13-2,99% Efficiency Wetting Basins (2003),388.51,Shallow Flooding
T13-3,99% Efficiency Wetting Basins (2003),230.343,Shallow Flooding
T13-3,99% Efficiency Wetting Basins (2003),204.86,Shallow Flooding
T15,No DCM,76.1151,Gravel
T16,Tillage With BACM Backup,55.8057,Tillage With BACM Backup
T16,99% Efficiency Wetting Basins (2008),307.18,Shallow Flooding
T16,99% Efficiency Wetting Basins (2008),150.664,Shallow Flooding
T16,Tillage With BACM Backup,158.881,Tillage With BACM Backup
T16,Tillage With BACM Backup,110.323,Proposed Brine
T16,Tillage With BACM Backup,158.791,Tillage With BACM Backup
T16,Tillage With BACM Backup,5.19742,Tillage With BACM Backup
T16,Wetting Basins with Reduced Compliance Efficiency,36.8079,Shallow Flooding
T16,Wetting Basins with Reduced Compliance Efficiency,78.1104,Shallow Flooding
T17-1,99% Efficiency Wetting Basins (2008),521.047,Shallow Flooding
T17-2,99% Efficiency Wetting Basins (2008),600.795,Shallow Flooding
T18-0,99% Efficiency Wetting Basins (2008),341.516,Shallow Flooding
T18N,99% Efficiency Wetting Basins (2003),544.512,Shallow Flooding
T18N Addition,99% Efficiency Wetting Basins (2003),21.306,Shallow Flooding
T18S,99% Efficiency Wetting Basins (2003),666.491,Shallow Flooding
T18S,99% Efficiency Wetting Basins (2003),488.515,Proposed Brine
T1A-1,Reduced Efficiency BACM,248.417,Sand Fence
T1A-2,Wetting Basins with Reduced Compliance Efficiency,444.238,Shallow Flooding
T1A-2,99% Efficiency Wetting Basins (2008),28.3938,Sprinkler Shallow Flooding
T1A-2,99% Efficiency Wetting Basins (2008),1.19519,Shallow Flooding
T1A-2,99% Efficiency Wetting Basins (2008),32.8515,Sprinkler Shallow Flooding
T1A-2,Managed Vegetation,193.801,Managed Vegetation
T1A-3,Gravel,302.543,Gravel
T1A-3,Gravel,161.843,Gravel
T1A-3,Gravel,41.7709,Gravel
T1A-4,99% Efficiency Wetting Basins (2008),615.099,Sprinkler Shallow Flooding
T20,No DCM,138.453,Gravel
T2-1,99% Efficiency Wetting Basins (2003),332.788,Shallow Flooding
T2-1 Addition,99% Efficiency Wetting Basins (2003),183.354,Shallow Flooding
T21-1,No DCM,103.825,Gravel
T21-2,No DCM,55.5791,Gravel
T2-1b,No DCM,50.1712,Managed Vegetation
T2-1c,No DCM,101.265,Managed Vegetation
T21E,99% Efficiency Wetting Basins (2008),273.219,Shallow Flooding
T21W,99% Efficiency Wetting Basins (2008),43.5593,Shallow Flooding
T22,No DCM,366.031,Gravel
T2-2,99% Efficiency Wetting Basins (2003),118.69,Shallow Flooding
T2-2,Tillage With BACM Backup,14.3347,Tillage With BACM Backup
T2-3,Tillage With BACM Backup,74.7585,Tillage With BACM Backup
T23-5,Wetting Basins with Reduced Compliance Efficiency,193.581,Shallow Flooding
T23NE,99% Efficiency Wetting Basins (2003),74.295,Brine
T23NE,99% Efficiency Wetting Basins (2003),102.444,Shallow Flooding
T23NE,99% Efficiency Wetting Basins (2003),36.0035,Brine
T23NE,99% Efficiency Wetting Basins (2003),38.6176,Shallow Flooding
T23NW,99% Efficiency Wetting Basins (2003),158.605,Shallow Flooding
T23NW,99% Efficiency Wetting Basins (2003),61.5092,Shallow Flooding
T23SE,99% Efficiency Wetting Basins (2003),475.799,Shallow Flooding
T23SW,99% Efficiency Wetting Basins (2003),225.447,Shallow Flooding
T24,99% Efficiency Wetting Basins (2003),1019.6,Shallow Flooding
T24,99% Efficiency Wetting Basins (2003),80.0737,Shallow Flooding
T2-4,Tillage With BACM Backup,92.3088,Brine
T2-4,Tillage With BACM Backup,56.9743,Tillage With BACM Backup
T2-4,Tillage With BACM Backup,30.9323,Tillage With BACM Backup
T24 Addition,Tillage With BACM Backup,42.3139,Tillage With BACM Backup
T2-5,Brine,65.2255,Brine
T25-3,Wetting Basins with Reduced Compliance Efficiency,160.523,Shallow Flooding
T25N,99% Efficiency Wetting Basins (2003),257.315,Shallow Flooding
T25S,99% Efficiency Wetting Basins (2003),818.267,Shallow Flooding
T26,99% Efficiency Wetting Basins (2003),489.274,Sprinkler Shallow Flooding
T26,99% Efficiency Wetting Basins (2003),361.964,Shallow Flooding
T27 Addition,Brine,50.364,Brine
T27N,99% Efficiency Wetting Basins (2003),547.63,Shallow Flooding
T27S,99% Efficiency Wetting Basins (2003),545.268,Shallow Flooding
T28N,99% Efficiency Wetting Basins (2003),106.195,Sprinkler Shallow Flooding
T28N,Gravel,29.8415,Gravel
T28N,99% Efficiency Wetting Basins (2003),22.9087,Shallow Flooding
T28N,Gravel,61.8416,Gravel
T28N,99% Efficiency Wetting Basins (2003),18.8298,Sprinkler Shallow Flooding
T28N,99% Efficiency Wetting Basins (2003),11.348,Sprinkler Shallow Flooding
