MP Name,StdPolygon,BACM_Type,AirSci Acres,AirSci Acres Sum,Phase,BACM_Typ_1,Cent_N,Cent_E,MP Acres
 Channel Area North ,C1,Channel,133.061,133.061,7,Channel Area BACM,4022861.657,411515.366,133
 Channel Area South ,C2,Channel,197.044,197.044,7,Channel Area BACM,4020701.988,409992.6786,197
 Corridor 1 ,Corridor 1,Gravel,87.9927,87.9927,5,Gravel,4043288.887,411297.6999,87.9
 Corridor 1 ,DuckPond-L2,No DCM,10.2622,,10,Gravel,4018544.963,410371.4183,87.9
 Phase 8 ,Phase 8,Gravel,1246.41,1280.7921,8,Gravel,4042340.153,409725.1336,1291.7
 Phase 8 ,Phase 8,Gravel,34.3821,1280.7921,8,Gravel,4043835.666,411623.628,1291.7
 T10-1 ,T10-1,99% Efficiency Wetting Basins (2008),40.7124,448.3504,7,Sprinkler Shallow Flooding,4024943.191,417414.8525,447.9
 T10-1 ,T10-1,99% Efficiency Wetting Basins (2003),241.966,448.3504,7,Sprinkler Shallow Flooding,4024846.711,417251.2339,447.9
 T10-1 ,T10-1,99% Efficiency Wetting Basins (2008),165.672,448.3504,7,Shallow Flooding,4025552.402,416907.8924,447.9
 T10-1a ,T10-1a,No DCM,41.074,41.074,9,Sprinkler Shallow Flooding,4024109.313,417421.4112,41.1
 T10-2N ,T10-2N,99% Efficiency Wetting Basins (2008),201.041,201.041,7,Shallow Flooding,4026632.85,416518.173,201
 T10-2S ,T10-2S,99% Efficiency Wetting Basins (2008),698.01,698.01,7,Shallow Flooding,4025584.463,415774.2856,698
 T10-3a ,T10-3a,No DCM,315.033,315.033,10,Gravel,4026898.971,414277.075,315
 T10-3E ,T10-3E,99% Efficiency Wetting Basins (2008),177.773,177.773,7,Shallow Flooding,4026251.295,415046.2933,177.8
 T10-3W ,T10-3W,Brine,102.784,102.784,7,Brine,4026661.765,414836.2059,102.8
 T11 ,T11,99% Efficiency Wetting Basins (2003),430.997,430.997,4,Proposed Brine,4027683.78,415339.8325,431
 T1-1 ,T1-1,99% Efficiency Wetting Basins (2003),150.269,150.269,5,Shallow Flooding,4023354.722,409400.6333,152.4
 T12-1 ,T12-1,Tillage With BACM Backup,215.747,215.747,7A,Tillage With BACM Backup,4027336.167,416766.6653,215.7
 T13-1N ,T13-1,99% Efficiency Wetting Basins (2003),378.71,745.144,5,Shallow Flooding,4026651.337,419080.1838,425.9
 T13-1S ,T13-1,99% Efficiency Wetting Basins (2003),366.434,745.144,5,Shallow Flooding,4026935.747,418624.728,319.2
 T13-1 Addition ,T13-1 Addition,99% Efficiency Wetting Basins (2003),4.83376,79.73132,7,Shallow Flooding,4025814.419,418382.6628,79.7
 T13-1 Addition ,T13-1 Addition,99% Efficiency Wetting Basins (2003),4.94566,79.73132,7,Shallow Flooding,4025855.844,418664.0467,79.7
 T13-1 Addition ,T13-1 Addition,99% Efficiency Wetting Basins (2003),50.1313,79.73132,7,Shallow Flooding,4026176.059,419353.4022,79.7
 T13-1 Addition ,T13-1 Addition,99% Efficiency Wetting Basins (2003),9.92643,79.73132,7,Shallow Flooding,4027030.299,419782.1145,79.7
 T13-1 Addition ,T13-1 Addition,99% Efficiency Wetting Basins (2003),9.89417,79.73132,7,Shallow Flooding,4027472.338,419858.9973,79.7
 T13-2N,T13-2,99% Efficiency Wetting Basins (2003),388.51,388.51,5,Shallow Flooding,4027346.564,418318.6504,388.5
T13-2S,T13-2,99% Efficiency Wetting Basins (2003),388.51,388.51,5,Shallow Flooding,4027346.564,418318.6504,388.5
 T13-3 ,T13-3,99% Efficiency Wetting Basins (2003),230.343,435.203,5,Shallow Flooding,4027832.424,417528.5735,436.6
 T13-3 ,T13-3,99% Efficiency Wetting Basins (2003),204.86,435.203,5,Shallow Flooding,4027604.305,417914.5613,436.6
 T15 ,T15,No DCM,76.1151,76.1151,9,Gravel,4028854.702,418805.8904,76.1
 T16 ,T16,Tillage With BACM Backup,55.8057,1061.76042,7,Tillage With BACM Backup,4029478.57,418262.5939,1082.5
 T16 ,T16,99% Efficiency Wetting Basins (2008),307.18,1061.76042,7,Shallow Flooding,4029363.833,416788.1933,1082.5
 T16 ,T16,99% Efficiency Wetting Basins (2008),150.664,1061.76042,7,Shallow Flooding,4028827.646,417522.9602,1082.5
 T16 ,T16,Tillage With BACM Backup,158.881,1061.76042,7,Tillage With BACM Backup,4027896.754,416131.782,1082.5
