name,desc,type, bw ,mw,pl,ms,md,water,,,,,,,,,,,,,,,,,
WF,Waterfowl,Design (generic),0.00,0.67,0.08,0.45,0.00,3.94,,,,,,,,,,,,,,,,,
WF and SB,Waterfowl and Shorebird,Design (generic),0.00,0.67,0.10,0.68,0.00,3.94,,,,,,,,,,,,,,,,,
WF and SB_SW,Waterfowl and Shorebird with Summer Water,Design (generic),0.00,0.80,0.14,0.87,0.00,3.94,,,,,,,,,,,,,,,,,
WF and SB_Br,Waterfowl and Shorebird with Brine,Design (generic),0.00,0.60,0.09,0.65,0.00,3.55,,,,,,,,,,,,,,,,,
WF and SB_BrSW,Waterfowl and Shorebird with Brine and Summer Water,Design (generic),0.00,0.72,0.13,0.82,0.00,3.55,,,,,,,,,,,,,,,,,
SB,Shorebird,Design (generic),0.00,0.31,0.23,0.72,0.00,3.53,,,,,,,,,,,,,,,,,
SB and SNPL,Shorebird and Snowy Plover,Design (generic),0.00,0.11,0.31,0.72,0.00,3.11,,,,,,,,,,,,,,,,,
SB and SNPL_SW,Shorebird and Snowy Plover with Summer Water,Design (generic),0.00,0.13,0.44,0.92,0.00,3.30,,,,,,,,,,,,,,,,,
SB and SNPL_Br,Shorebird and Snowy Plover with Brine,Design (generic),0.00,0.10,0.30,0.69,0.00,2.80,,,,,,,,,,,,,,,,,
SB and SNPL_BrSW,Shorebird and Snowy Plover with Brine and Summer Water,Design (generic),0.00,0.11,0.42,0.87,0.00,2.97,,,,,,,,,,,,,,,,,
SB and SNPL_DWM,Shorebird and Snowy Plover DWM,Design (generic),0.00,0.05,0.11,0.47,0.00,1.80,,,,,,,,,,,,,,,,,
SNPL,Snowy Plover,Design (generic),0.00,0.30,0.31,0.54,0.00,3.11,,,,,,,,,,,,,,,,,
SNPL_SW,SNPL with Summer Water,Design (generic),0.00,0.36,0.44,0.69,0.00,3.30,,,,,,,,,,,,,,,,,
SNPL_SWGr,SNPL with Summer Water with gravel,Design (generic),0.00,0.10,0.64,0.67,0.00,3.10,,,,,,,,,,,,,,,,,
SNPL_SW_DWM,SNPL with Summer Water DWM,Design (generic),0.00,0.06,0.25,0.61,0.00,1.88,,,,,,,,,,,,,,,,,
SNPL_BrSW_DWM,"SNPLwith Brine, Summer Water and DWM",Design (generic),0.00,0.04,0.24,0.43,0.00,1.69,,,,,,,,,,,,,,,,,
T10-1 design,"WF/SNPL, 1/3 brine",Design (DCA),0.00,0.33,0.31,0.57,0.00,1.73,,,,,,,,,,,,,,,,,
T10-2S design,"WF/SB, no SW, 1/3 tillage, ",Design (DCA),0.00,0.42,0.15,0.48,0.00,2.20,,,,,,,,,,,,,,,,,
T13-1 design,"WF/SNPL, islands, mudflat remains intact",Design (DCA),0.00,0.60,0.27,0.56,0.00,3.68,,,,,,,,,,,,,,,,,
T13-2 design,"T13-2N targets WF/SB, T13-2S waterless",Design (DCA),0.00,0.50,0.12,0.56,0.00,2.58,,,,,,,,,,,,,,,,,
T17-1 design,"WF/SNPL, laterals off, pond operational in Fall DWM",Design (DCA),0.00,0.56,0.27,0.65,0.00,2.67,,,,,,,,,,,,,,,,,
T17-2 design,"WF/SNPL, per DWM only half operated in fall",Design (DCA),0.00,0.47,0.25,0.42,0.00,2.85,,,,,,,,,,,,,,,,,
T18S design,"WF/SB, current T18S configuration ",Design (DCA),0.00,0.23,0.12,0.55,0.00,1.92,,,,,,,,,,,,,,,,,
T1A-2 design,"MV converted to SF for SNPL, 30.6 acres of MV remaining",Design (DCA),0.00,0.55,0.18,0.55,0.07,3.08,,,,,,,,,,,,,,,,,
T23-5 design,"SB, 135 acres Brine, no summer water",Design (DCA),0.00,0.02,0.10,0.32,0.00,0.92,,,,,,,,,,,,,,,,,
T23NE design,"Mostly brine, eastern pond targets SNPL",Design (DCA),0.00,0.01,0.07,0.25,0.00,0.49,,,,,,,,,,,,,,,,,
T23SE design,"WF/SNPL, 10% brine, SW present",Design (DCA),0.00,0.51,0.28,0.63,0.00,3.15,,,,,,,,,,,,,,,,,
T25S design,"Per Ops, 5% Brine and 40% gravel.  55% SB/SNPL habitat",Design (DCA),0.00,0.07,0.41,0.68,0.00,1.84,,,,,,,,,,,,,,,,,
T26 design,"288 acres of gravel, sprinkers for SNPL",Design (DCA),0.00,0.07,0.50,0.53,0.00,1.98,,,,,,,,,,,,,,,,,
T29-2 design,"WF/SB, 100 acres gravel",Design (DCA),0.00,0.56,0.15,0.62,0.00,2.79,,,,,,,,,,,,,,,,,
T29-3 design,"SB, mostly Brine, no summer water",Design (DCA),0.00,0.02,0.10,0.32,0.00,1.01,,,,,,,,,,,,,,,,,
